question_id,category,turns,answer
1,,"A counselor intensifies a client's emotional state to show the client the irrationality of her emotional reaction.  What is this technique known as?
a. Paradoxical intention
b. Transactional-Analysis
c. Systematic Desensitization
d. Reconfiguration", a. Paradoxical intention
2,,"Despite its age, Kohlberg's Theory of Moral Development is still in widespread use. Which of the following is the final level in the theory?	
	a. Personhood	
	b. Principled thought	
	c. Self-actualization	
	d. None of the above",b. Principled thought
3,,"Which of the following interventions is not commonly used in Interpersonal Therapy (IPT)?	
	a. Discussion of patterns in a client's relationships	
	b. A detailed past history of the client	
	c. Exploration of the therapist/client relationship	
	d. The ABC Model",d. The ABC Model
4,,"Members of a counseling group that scores high in authoritarianism also tend to score high in independence.	
a.True	
b.False",b.False
5,,"If a child is learning to use abstract concepts, which of Piaget's stages is she in?	
	a. Preoperational	
	b. Sensorimotoer	
	c. Concrete	
	d. Early Adolescence",d. Early Adolescence
6,,"	If someone is thinking about committing suicide, asking them whether they are thinking about suicide will not cause them to commit suicide.	
a. True	
b. False",a. True
7,,"Under which of the following circumstances is it not okay to break patient confidentiality?	
	a. A court subpoenas the client's chart.	
	b. The client has threatened to hurt himself or someone else.	
	c. The client's employer has requested the information.	
	d. The client admits to abusing his children.", c. The client's employer has requested the information.
8,,"You are using the ABC model of cognitive therapy. Which model are you trying to promote in your clients after a negative event?	
	a. Negative Event leads to irrational belief leads to positive thought	
	b. Negative Event leads to rational belief leads to healthy negative thought	
	c. Negative Event leads to irrational belief leads to unhealthy negative thought	
	d. None of the above"," 	b. Negative Event leads to rational belief leads to healthy negative thought"
9,,"Carl Jung's Theory of Archetypes is still very influential, and several of them are listed below. Choose the one that is not correct.	
	a. The Shadow	
	b. The Hero	
	c. The Wise Old Woman	
	d. The Self-Made Person",d. The Self-Made Person
10,,"Which of the following kinds of therapy seeks to help clients find their answers to questions such as: Why am I here? Is this all there is? Why do people suffer?	
	a. Cognitive Behavioral	
	b. Holistic Health	
	c. Existential	
	d. Client Centered","	c. Existential"
11,,"13.	A client is 35. She is married, has two kids and is working on a big promotion at work. She is focused entirely on her family and career. Which of Erickson's Stages of Psychosocial Development is she in?	
	a. Intimacy vs. Isolation	
	b. Generativity vs. Stagnation	
	c. Integrity vs. Despair	
	d. Industry vs. Inferiority",b. Generativity vs. Stagnation
12,,"Crites is the researcher that first described the concept of ""career maturity.""	
	a. True	
	b. False",b.False
